AIS,Ano,Data,Hora,Dia da Semana,Gênero da Vítima,Idade da Vítima,Escolaridade da Vítima,Raça da Vítima
AIS 20,2021,04/03/2021,9,Quinta,Feminino,25,Alfabetizado,Não Informada
AIS 18,2021,04/03/2021,9,Quinta,Feminino,58,Ensino Médio Incompleto,Não Informada
AIS 18,2021,04/03/2021,9,Quinta,Feminino,25,Alfabetizado,Parda
AIS 11,2021,04/03/2021,10,Quinta,Feminino,38,Ensino Fundamental Incompleto,Não Informada
AIS 11,2021,04/03/2021,10,Quinta,Feminino,18,Alfabetizado,Não Informada
AIS Não Identificada (Fortaleza),2021,04/03/2021,10,Quinta,Feminino,24,Não Informada,Não Informada
AIS 09,2021,04/03/2021,10,Quinta,Feminino,34,Alfabetizado,Não Informada
AIS 25,2021,04/03/2021,10,Quinta,Feminino,32,Ensino Médio Completo,Parda
AIS 06,2021,04/03/2021,10,Quinta,Feminino,37,Não Informada,Não Informada
AIS 19,2021,04/03/2021,11,Quinta,Feminino,25,Ensino Médio Completo,Não Informada
AIS 06,2021,04/03/2021,12,Quinta,Feminino,32,Ensino Fundamental Completo,Não Informada
AIS 06,2021,04/03/2021,12,Quinta,Feminino,32,Ensino Médio Incompleto,Não Informada
AIS 20,2021,04/03/2021,12,Quinta,Feminino,34,Ensino Médio Completo,Não Informada
AIS 02,2021,04/03/2021,13,Quinta,Feminino,40,Alfabetizado,Não Informada
AIS 19,2021,04/03/2021,14,Quinta,Feminino,27,Ensino Fundamental Incompleto,Não Informada
AIS 15,2021,04/03/2021,14,Quinta,Feminino,46,Não Alfabetizado,Parda
AIS 11,2021,04/03/2021,15,Quinta,Feminino,36,Ensino Médio Completo,Parda
AIS 04,2021,04/03/2021,15,Quinta,Feminino,22,Superior Incompleto,Não Informada
AIS 18,2021,04/03/2021,16,Quinta,Feminino,37,Alfabetizado,Não Informada
AIS 18,2021,04/03/2021,17,Quinta,Feminino,36,Alfabetizado,Não Informada
AIS 18,2021,04/03/2021,17,Quinta,Feminino,31,Ensino Fundamental Completo,Não Informada
AIS 05,2021,04/03/2021,18,Quinta,Feminino,70,Superior Completo,Não Informada
AIS 15,2021,04/03/2021,18,Quinta,Feminino,51,Ensino Fundamental Incompleto,Não Informada
AIS 17,2021,04/03/2021,19,Quinta,Feminino,36,Alfabetizado,Não Informada
AIS 17,2021,04/03/2021,19,Quinta,Feminino,16,Ensino Fundamental Incompleto,Não Informada
AIS 21,2021,04/03/2021,19,Quinta,Feminino,25,Ensino Fundamental Completo,Não Informada
AIS 09,2021,04/03/2021,20,Quinta,Feminino,33,Superior Completo,Não Informada
AIS Não Identificada (Fortaleza),2021,04/03/2021,20,Quinta,Feminino,23,Ensino Médio Completo,Não Informada
AIS 01,2021,04/03/2021,21,Quinta,Feminino,9,Não Informada,Não Informada
AIS 12,2021,04/03/2021,23,Quinta,Feminino,58,Alfabetizado,Não Informada
AIS 01,2021,04/03/2021,23,Quinta,Feminino,23,Ensino Médio Completo,Não Informada
AIS 19,2021,05/03/2021,0,Sexta,Feminino,21,Alfabetizado,Não Informada
AIS 11,2021,05/03/2021,6,Sexta,Feminino,34,Ensino Médio Completo,Parda
AIS 21,2021,05/03/2021,8,Sexta,Feminino,20,Não Informada,Parda
AIS 23,2021,05/03/2021,8,Sexta,Feminino,50,Alfabetizado,Parda
AIS 20,2021,05/03/2021,9,Sexta,Feminino,36,Ensino Fundamental Completo,Não Informada
AIS 19,2021,05/03/2021,9,Sexta,Feminino,65,Ensino Médio Completo,Não Informada
AIS 11,2021,05/03/2021,10,Sexta,Feminino,21,Ensino Fundamental Completo,Branca
AIS 19,2021,05/03/2021,10,Sexta,Feminino,28,Ensino Médio Completo,Não Informada
AIS 14,2021,05/03/2021,10,Sexta,Feminino,38,Alfabetizado,Não Informada
AIS 14,2021,05/03/2021,10,Sexta,Feminino,29,Ensino Médio Completo,Não Informada
AIS 19,2021,05/03/2021,11,Sexta,Feminino,38,Não Informada,Não Informada
AIS 08,2021,05/03/2021,12,Sexta,Feminino,33,Ensino Fundamental Incompleto,Parda
AIS 19,2021,05/03/2021,12,Sexta,Feminino,37,Ensino Fundamental Completo,Não Informada
AIS 19,2021,05/03/2021,13,Sexta,Feminino,31,Ensino Médio Completo,Parda
AIS 20,2021,05/03/2021,13,Sexta,Feminino,45,Superior Completo,Não Informada
AIS 23,2021,05/03/2021,14,Sexta,Feminino,30,Ensino Fundamental Incompleto,Não Informada
AIS 03,2021,05/03/2021,14,Sexta,Feminino,42,Ensino Fundamental Completo,Não Informada
AIS 05,2021,05/03/2021,14,Sexta,Feminino,23,Ensino Médio Completo,Não Informada
AIS 19,2021,05/03/2021,15,Sexta,Feminino,25,Ensino Médio Completo,Não Informada
AIS 24,2021,05/03/2021,15,Sexta,Feminino,39,Ensino Médio Completo,Não Informada
AIS 23,2021,05/03/2021,16,Sexta,Feminino,27,Superior Incompleto,Não Informada
AIS 05,2021,05/03/2021,16,Sexta,Feminino,41,Superior Incompleto,Não Informada
AIS 19,2021,05/03/2021,17,Sexta,Feminino,31,Superior Incompleto,Não Informada
AIS 25,2021,05/03/2021,18,Sexta,Feminino,40,Ensino Médio Incompleto,Não Informada
AIS 21,2021,05/03/2021,18,Sexta,Feminino,40,Ensino Médio Completo,Não Informada
AIS 20,2021,05/03/2021,19,Sexta,Feminino,40,Ensino Médio Completo,Não Informada
AIS 06,2021,05/03/2021,19,Sexta,Feminino,38,Superior Incompleto,Não Informada
AIS 06,2021,05/03/2021,19,Sexta,Feminino,72,Ensino Fundamental Incompleto,Parda
AIS 12,2021,05/03/2021,20,Sexta,Feminino,59,Alfabetizado,Não Informada
AIS 03,2021,05/03/2021,20,Sexta,Feminino,36,Ensino Fundamental Completo,Não Informada
AIS 06,2021,05/03/2021,20,Sexta,Feminino,37,Não Informada,Não Informada
AIS 14,2021,05/03/2021,20,Sexta,Feminino,28,Ensino Médio Completo,Não Informada
AIS 17,2021,05/03/2021,21,Sexta,Feminino,33,Ensino Médio Completo,Não Informada
AIS 19,2021,05/03/2021,21,Sexta,Feminino,31,Ensino Fundamental Incompleto,Não Informada
AIS 05,2021,05/03/2021,22,Sexta,Feminino,26,Ensino Fundamental Completo,Não Informada
AIS 03,2021,06/03/2021,0,Sábado,Feminino,37,Superior Completo,Branca
AIS 09,2021,06/03/2021,0,Sábado,Feminino,21,Ensino Médio Completo,Não Informada
AIS 09,2021,06/03/2021,2,Sábado,Feminino,27,Superior Completo,Não Informada
AIS 12,2021,06/03/2021,5,Sábado,Feminino,20,Ensino Fundamental Incompleto,Não Informada
AIS 12,2021,06/03/2021,5,Sábado,Feminino,19,Ensino Fundamental Incompleto,Não Informada
AIS 19,2021,06/03/2021,5,Sábado,Feminino,41,Ensino Fundamental Incompleto,Parda
AIS 14,2021,06/03/2021,7,Sábado,Feminino,55,Superior Completo,Não Informada
AIS 04,2021,06/03/2021,8,Sábado,Feminino,35,Não Informada,Parda
AIS 04,2021,06/03/2021,8,Sábado,Feminino,14,Não Informada,Parda
AIS 20,2021,06/03/2021,8,Sábado,Feminino,19,Alfabetizado,Não Informada
AIS 18,2021,06/03/2021,8,Sábado,Feminino,39,Não Informada,Não Informada
AIS 20,2021,06/03/2021,8,Sábado,Feminino,33,Ensino Médio Completo,Não Informada
AIS 04,2021,06/03/2021,9,Sábado,Feminino,41,Ensino Fundamental Incompleto,Não Informada
AIS 19,2021,06/03/2021,9,Sábado,Feminino,48,Ensino Fundamental Completo,Não Informada
AIS 20,2021,06/03/2021,9,Sábado,Feminino,40,Alfabetizado,Não Informada
AIS 13,2021,06/03/2021,10,Sábado,Feminino,37,Superior Incompleto,Não Informada
AIS 18,2021,06/03/2021,10,Sábado,Feminino,36,Não Informada,Não Informada
AIS 19,2021,06/03/2021,11,Sábado,Feminino,20,Ensino Médio Completo,Não Informada
AIS 19,2021,06/03/2021,11,Sábado,Feminino,40,Ensino Fundamental Completo,Não Informada
AIS 09,2021,06/03/2021,11,Sábado,Feminino,22,Ensino Médio Completo,Não Informada
AIS 20,2021,06/03/2021,11,Sábado,Feminino,19,Ensino Fundamental Incompleto,Não Informada
AIS 19,2021,06/03/2021,12,Sábado,Feminino,27,Alfabetizado,Não Informada
AIS 25,2021,06/03/2021,12,Sábado,Feminino,25,Ensino Médio Completo,Não Informada
AIS 01,2021,06/03/2021,13,Sábado,Feminino,57,Ensino Médio Completo,Branca
AIS 09,2021,06/03/2021,13,Sábado,Feminino,23,Superior Incompleto,Não Informada
AIS 19,2021,06/03/2021,13,Sábado,Feminino,35,Alfabetizado,Não Informada
AIS 11,2021,06/03/2021,13,Sábado,Feminino,37,Superior Completo,Não Informada
AIS 20,2021,06/03/2021,13,Sábado,Feminino,22,Superior Incompleto,Não Informada
AIS 23,2021,06/03/2021,14,Sábado,Feminino,30,Ensino Fundamental Completo,Não Informada
AIS 08,2021,06/03/2021,15,Sábado,Feminino,29,Superior Completo,Não Informada
AIS 08,2021,06/03/2021,15,Sábado,Feminino,29,Superior Completo,Não Informada
AIS 19,2021,06/03/2021,15,Sábado,Feminino,60,Ensino Fundamental Completo,Não Informada
AIS 16,2021,06/03/2021,16,Sábado,Feminino,36,Alfabetizado,Não Informada
AIS 11,2021,06/03/2021,17,Sábado,Feminino,9,Alfabetizado,Não Informada
AIS 05,2021,06/03/2021,17,Sábado,Feminino,50,Ensino Fundamental Incompleto,Não Informada
AIS 25,2021,06/03/2021,17,Sábado,Feminino,25,Ensino Médio Completo,Não Informada
AIS 11,2021,06/03/2021,18,Sábado,Feminino,52,Ensino Fundamental Completo,Não Informada
AIS 03,2021,06/03/2021,18,Sábado,Feminino,33,Alfabetizado,Não Informada
AIS 19,2021,06/03/2021,18,Sábado,Feminino,72,Alfabetizado,Parda
AIS 15,2021,06/03/2021,19,Sábado,Feminino,Não Informada,Ensino Fundamental Incompleto,Não Informada
AIS 19,2021,06/03/2021,19,Sábado,Feminino,20,Ensino Médio Completo,Parda
AIS 19,2021,06/03/2021,19,Sábado,Feminino,52,Ensino Fundamental Incompleto,Parda
AIS 22,2021,06/03/2021,19,Sábado,Feminino,40,Não Informada,Não Informada
AIS 19,2021,06/03/2021,20,Sábado,Feminino,33,Ensino Médio Completo,Parda
AIS 15,2021,06/03/2021,20,Sábado,Feminino,27,Ensino Fundamental Completo,Não Informada
AIS 21,2021,06/03/2021,20,Sábado,Feminino,Não Informada,Ensino Médio Completo,Parda
AIS 18,2021,06/03/2021,20,Sábado,Feminino,18,Ensino Médio Incompleto,Parda
AIS 08,2021,06/03/2021,20,Sábado,Feminino,74,Alfabetizado,Não Informada
AIS 19,2021,06/03/2021,21,Sábado,Feminino,22,Ensino Fundamental Completo,Parda
AIS 11,2021,06/03/2021,21,Sábado,Feminino,33,Ensino Médio Completo,Não Informada
AIS 18,2021,06/03/2021,21,Sábado,Feminino,32,Não Informada,Parda
AIS 19,2021,06/03/2021,21,Sábado,Feminino,55,Não Informada,Não Informada
AIS 24,2021,06/03/2021,22,Sábado,Feminino,24,Superior Incompleto,Parda
AIS 19,2021,06/03/2021,22,Sábado,Feminino,24,Ensino Médio Completo,Branca
AIS 14,2021,06/03/2021,22,Sábado,Feminino,46,Alfabetizado,Não Informada
AIS 15,2021,06/03/2021,22,Sábado,Feminino,31,Alfabetizado,Não Informada
AIS 18,2021,06/03/2021,22,Sábado,Feminino,16,Alfabetizado,Não Informada
AIS 15,2021,06/03/2021,23,Sábado,Feminino,38,Superior Completo,Não Informada
AIS 08,2021,07/03/2021,3,Domingo,Feminino,23,Ensino Médio Incompleto,Não Informada
AIS 06,2021,07/03/2021,3,Domingo,Feminino,44,Ensino Fundamental Completo,Não Informada
AIS Não Identificada (Fortaleza),2021,07/03/2021,3,Domingo,Feminino,24,Superior Incompleto,Não Informada
AIS 20,2021,07/03/2021,5,Domingo,Feminino,50,Alfabetizado,Parda
AIS 07,2021,07/03/2021,6,Domingo,Feminino,26,Ensino Médio Incompleto,Não Informada
AIS 11,2021,07/03/2021,6,Domingo,Feminino,23,Ensino Fundamental Incompleto,Parda
AIS 14,2021,07/03/2021,7,Domingo,Feminino,54,Ensino Fundamental Incompleto,Não Informada
AIS 19,2021,07/03/2021,8,Domingo,Feminino,25,Ensino Médio Completo,Parda
AIS 13,2021,07/03/2021,8,Domingo,Feminino,27,Ensino Fundamental Completo,Não Informada
AIS 14,2021,07/03/2021,8,Domingo,Feminino,37,Superior Completo,Não Informada
AIS 11,2021,07/03/2021,9,Domingo,Feminino,35,Ensino Médio Completo,Não Informada
AIS 11,2021,07/03/2021,10,Domingo,Feminino,15,Ensino Fundamental Incompleto,Não Informada
AIS 04,2021,07/03/2021,10,Domingo,Feminino,30,Ensino Fundamental Incompleto,Não Informada
AIS 01,2021,07/03/2021,10,Domingo,Feminino,41,Superior Completo,Não Informada
AIS 08,2021,07/03/2021,10,Domingo,Feminino,27,Ensino Médio Completo,Não Informada
AIS 13,2021,07/03/2021,10,Domingo,Feminino,54,Alfabetizado,Não Informada
AIS 03,2021,07/03/2021,11,Domingo,Feminino,25,Ensino Fundamental Completo,Não Informada
AIS 19,2021,07/03/2021,12,Domingo,Feminino,24,Não Informada,Não Informada
AIS 19,2021,07/03/2021,12,Domingo,Feminino,44,Ensino Fundamental Incompleto,Não Informada
AIS 09,2021,07/03/2021,12,Domingo,Feminino,38,Ensino Médio Completo,Não Informada
AIS 02,2021,07/03/2021,13,Domingo,Feminino,28,Ensino Fundamental Completo,Não Informada
AIS 03,2021,07/03/2021,13,Domingo,Feminino,61,Alfabetizado,Não Informada
AIS 19,2021,07/03/2021,13,Domingo,Feminino,41,Ensino Fundamental Incompleto,Não Informada
AIS 06,2021,07/03/2021,13,Domingo,Feminino,31,Ensino Fundamental Incompleto,Não Informada
AIS 02,2021,07/03/2021,14,Domingo,Feminino,32,Ensino Médio Completo,Não Informada
AIS 07,2021,07/03/2021,14,Domingo,Feminino,31,Superior Completo,Não Informada
AIS 11,2021,07/03/2021,15,Domingo,Feminino,38,Alfabetizado,Não Informada
AIS 17,2021,07/03/2021,15,Domingo,Feminino,31,Ensino Médio Completo,Parda
AIS 24,2021,07/03/2021,15,Domingo,Feminino,22,Superior Incompleto,Amarela
AIS 19,2021,07/03/2021,15,Domingo,Feminino,31,Ensino Fundamental Incompleto,Parda
AIS 01,2021,07/03/2021,15,Domingo,Feminino,23,Ensino Médio Completo,Não Informada
AIS 14,2021,07/03/2021,16,Domingo,Feminino,6,Não Alfabetizado,Não Informada
AIS 14,2021,07/03/2021,16,Domingo,Feminino,6,Não Alfabetizado,Não Informada
AIS 14,2021,07/03/2021,16,Domingo,Feminino,6,Não Alfabetizado,Não Informada
AIS 09,2021,07/03/2021,16,Domingo,Feminino,21,Ensino Médio Incompleto,Branca
AIS Não Identificada (Fortaleza),2021,07/03/2021,16,Domingo,Feminino,53,Ensino Médio Completo,Não Informada
AIS 24,2021,07/03/2021,16,Domingo,Feminino,20,Ensino Médio Completo,Parda
AIS 24,2021,07/03/2021,16,Domingo,Feminino,45,Ensino Fundamental Incompleto,Não Informada
AIS 05,2021,07/03/2021,17,Domingo,Feminino,36,Superior Completo,Não Informada
AIS 14,2021,07/03/2021,17,Domingo,Feminino,71,Não Alfabetizado,Parda
AIS 09,2021,07/03/2021,17,Domingo,Feminino,37,Ensino Médio Completo,Não Informada
AIS 19,2021,07/03/2021,17,Domingo,Feminino,34,Alfabetizado,Não Informada
AIS 14,2021,07/03/2021,18,Domingo,Feminino,33,Alfabetizado,Parda
AIS 12,2021,07/03/2021,18,Domingo,Feminino,55,Ensino Fundamental Incompleto,Não Informada
AIS 05,2021,07/03/2021,18,Domingo,Feminino,33,Alfabetizado,Não Informada
AIS 14,2021,07/03/2021,18,Domingo,Feminino,45,Ensino Médio Incompleto,Não Informada
AIS 19,2021,07/03/2021,19,Domingo,Feminino,40,Ensino Fundamental Completo,Parda
AIS 17,2021,07/03/2021,19,Domingo,Feminino,28,Ensino Médio Completo,Não Informada
AIS 14,2021,07/03/2021,19,Domingo,Feminino,20,Alfabetizado,Não Informada
AIS 10,2021,07/03/2021,19,Domingo,Feminino,27,Não Informada,Não Informada
AIS 19,2021,07/03/2021,20,Domingo,Feminino,30,Ensino Médio Completo,Não Informada
AIS 21,2021,07/03/2021,20,Domingo,Feminino,23,Ensino Médio Completo,Branca
AIS Não Identificada (Fortaleza),2021,07/03/2021,20,Domingo,Feminino,29,Ensino Médio Completo,Não Informada
AIS 21,2021,07/03/2021,20,Domingo,Feminino,27,Ensino Fundamental Incompleto,Preta
AIS 25,2021,07/03/2021,21,Domingo,Feminino,29,Ensino Médio Completo,Não Informada
AIS 18,2021,07/03/2021,21,Domingo,Feminino,44,Alfabetizado,Não Informada
AIS 12,2021,07/03/2021,21,Domingo,Feminino,21,Ensino Médio Completo,Não Informada
AIS 08,2021,07/03/2021,22,Domingo,Feminino,23,Ensino Fundamental Completo,Não Informada
AIS 19,2021,07/03/2021,22,Domingo,Feminino,24,Alfabetizado,Não Informada
AIS 05,2021,07/03/2021,22,Domingo,Feminino,23,Ensino Médio Incompleto,Não Informada
AIS 16,2021,07/03/2021,23,Domingo,Feminino,28,Alfabetizado,Não Informada
AIS 17,2021,07/03/2021,23,Domingo,Feminino,45,Ensino Fundamental Incompleto,Branca
AIS 19,2021,07/03/2021,23,Domingo,Feminino,27,Ensino Fundamental Completo,Não Informada
AIS 19,2021,07/03/2021,23,Domingo,Feminino,35,Superior Incompleto,Não Informada
AIS 14,2021,07/03/2021,23,Domingo,Feminino,57,Ensino Fundamental Incompleto,Não Informada
AIS 09,2021,08/03/2021,0,Segunda,Feminino,34,Ensino Médio Completo,Não Informada
AIS Não Identificada (Fortaleza),2021,08/03/2021,0,Segunda,Feminino,19,Alfabetizado,Não Informada
AIS 11,2021,08/03/2021,0,Segunda,Feminino,19,Ensino Médio Completo,Não Informada
AIS 14,2021,08/03/2021,1,Segunda,Feminino,20,Ensino Fundamental Completo,Não Informada
AIS 24,2021,08/03/2021,5,Segunda,Feminino,35,Ensino Médio Completo,Parda
AIS 19,2021,08/03/2021,7,Segunda,Feminino,75,Ensino Fundamental Completo,Parda
AIS 11,2021,08/03/2021,7,Segunda,Feminino,55,Ensino Médio Completo,Branca
AIS 16,2021,08/03/2021,7,Segunda,Feminino,25,Superior Incompleto,Não Informada
AIS 19,2021,08/03/2021,7,Segunda,Feminino,33,Ensino Fundamental Completo,Não Informada
AIS 05,2021,08/03/2021,8,Segunda,Feminino,27,Superior Incompleto,Não Informada
AIS 19,2021,08/03/2021,8,Segunda,Feminino,42,Ensino Fundamental Incompleto,Não Informada
AIS 16,2021,08/03/2021,9,Segunda,Feminino,39,Superior Completo,Não Informada
AIS 13,2021,08/03/2021,9,Segunda,Feminino,19,Alfabetizado,Não Informada
AIS 05,2021,08/03/2021,10,Segunda,Feminino,48,Ensino Médio Completo,Não Informada
AIS 19,2021,08/03/2021,10,Segunda,Feminino,32,Ensino Médio Completo,Parda
AIS 14,2021,08/03/2021,10,Segunda,Feminino,23,Alfabetizado,Parda
AIS 15,2021,08/03/2021,10,Segunda,Feminino,30,Alfabetizado,Não Informada
AIS 08,2021,08/03/2021,10,Segunda,Feminino,49,Ensino Fundamental Completo,Não Informada
AIS 04,2021,08/03/2021,11,Segunda,Feminino,66,Não Informada,Não Informada
AIS 05,2021,08/03/2021,11,Segunda,Feminino,37,Ensino Médio Incompleto,Não Informada
AIS 13,2021,08/03/2021,11,Segunda,Feminino,23,Ensino Fundamental Completo,Não Informada
AIS 11,2021,08/03/2021,11,Segunda,Feminino,21,Ensino Fundamental Completo,Branca
AIS 15,2021,08/03/2021,11,Segunda,Feminino,28,Ensino Fundamental Completo,Não Informada
AIS 15,2021,08/03/2021,11,Segunda,Feminino,32,Superior Incompleto,Não Informada
AIS 17,2021,08/03/2021,12,Segunda,Feminino,26,Superior Completo,Não Informada
AIS 14,2021,08/03/2021,12,Segunda,Feminino,51,Não Alfabetizado,Parda
AIS 20,2021,08/03/2021,12,Segunda,Feminino,32,Ensino Médio Completo,Não Informada
AIS 06,2021,08/03/2021,12,Segunda,Feminino,40,Ensino Fundamental Completo,Não Informada
AIS 19,2021,08/03/2021,13,Segunda,Feminino,66,Alfabetizado,Parda
AIS 14,2021,08/03/2021,13,Segunda,Feminino,43,Alfabetizado,Não Informada
AIS 19,2021,08/03/2021,13,Segunda,Feminino,62,Alfabetizado,Não Informada
AIS 19,2021,08/03/2021,13,Segunda,Feminino,20,Superior Incompleto,Não Informada
AIS 06,2021,08/03/2021,14,Segunda,Feminino,20,Alfabetizado,Parda
AIS 11,2021,08/03/2021,14,Segunda,Feminino,31,Alfabetizado,Não Informada
AIS 23,2021,08/03/2021,15,Segunda,Feminino,30,Ensino Médio Completo,Não Informada
AIS 07,2021,08/03/2021,15,Segunda,Feminino,33,Ensino Médio Completo,Não Informada
AIS 18,2021,08/03/2021,15,Segunda,Feminino,17,Ensino Fundamental Incompleto,Não Informada
AIS 02,2021,08/03/2021,16,Segunda,Feminino,44,Ensino Médio Completo,Não Informada
AIS 02,2021,08/03/2021,16,Segunda,Feminino,19,Alfabetizado,Não Informada
AIS 17,2021,08/03/2021,17,Segunda,Feminino,52,Não Alfabetizado,Não Informada
AIS 04,2021,08/03/2021,18,Segunda,Feminino,30,Superior Incompleto,Não Informada
AIS 03,2021,08/03/2021,18,Segunda,Feminino,30,Ensino Médio Completo,Não Informada
AIS 10,2021,08/03/2021,19,Segunda,Feminino,60,Alfabetizado,Não Informada
AIS 07,2021,08/03/2021,19,Segunda,Feminino,43,Superior Completo,Branca
AIS 20,2021,08/03/2021,19,Segunda,Feminino,25,Ensino Fundamental Completo,Não Informada
AIS 14,2021,08/03/2021,19,Segunda,Feminino,37,Ensino Fundamental Incompleto,Não Informada
AIS 06,2021,08/03/2021,19,Segunda,Feminino,22,Ensino Fundamental Incompleto,Não Informada
AIS 14,2021,08/03/2021,20,Segunda,Feminino,38,Ensino Médio Completo,Não Informada
AIS 10,2021,08/03/2021,20,Segunda,Feminino,35,Ensino Médio Incompleto,Não Informada
AIS 19,2021,08/03/2021,21,Segunda,Feminino,75,Ensino Fundamental Completo,Parda
AIS 25,2021,08/03/2021,22,Segunda,Feminino,32,Ensino Fundamental Completo,Parda
AIS 17,2021,08/03/2021,22,Segunda,Feminino,25,Superior Completo,Parda
AIS 03,2021,08/03/2021,22,Segunda,Feminino,35,Alfabetizado,Não Informada
AIS 17,2021,09/03/2021,0,Terça,Feminino,37,Superior Incompleto,Não Informada
AIS 06,2021,09/03/2021,2,Terça,Feminino,23,Alfabetizado,Parda
AIS 03,2021,09/03/2021,6,Terça,Feminino,42,Ensino Fundamental Incompleto,Não Informada
AIS 17,2021,09/03/2021,7,Terça,Feminino,27,Alfabetizado,Não Informada
AIS 14,2021,09/03/2021,8,Terça,Feminino,55,Ensino Fundamental Completo,Não Informada
AIS 21,2021,09/03/2021,10,Terça,Feminino,82,Não Informada,Não Informada
AIS 06,2021,09/03/2021,10,Terça,Feminino,40,Ensino Fundamental Completo,Não Informada
AIS 01,2021,09/03/2021,10,Terça,Feminino,89,Ensino Médio Completo,Não Informada
AIS 02,2021,09/03/2021,10,Terça,Feminino,25,Ensino Médio Completo,Não Informada
AIS 19,2021,09/03/2021,11,Terça,Feminino,Não Informada,Ensino Médio Completo,Parda
AIS 19,2021,09/03/2021,11,Terça,Feminino,32,Ensino Fundamental Incompleto,Branca
AIS 12,2021,09/03/2021,11,Terça,Feminino,38,Ensino Médio Completo,Não Informada
AIS 24,2021,09/03/2021,11,Terça,Feminino,31,Ensino Fundamental Incompleto,Não Informada
AIS 06,2021,09/03/2021,12,Terça,Feminino,36,Superior Completo,Parda
AIS 03,2021,09/03/2021,13,Terça,Feminino,22,Ensino Fundamental Completo,Não Informada
AIS 16,2021,09/03/2021,13,Terça,Feminino,46,Ensino Fundamental Incompleto,Não Informada
AIS 11,2021,09/03/2021,13,Terça,Feminino,44,Ensino Fundamental Incompleto,Parda
AIS 04,2021,09/03/2021,14,Terça,Feminino,29,Ensino Fundamental Completo,Não Informada
AIS 18,2021,09/03/2021,14,Terça,Feminino,40,Ensino Médio Completo,Branca
AIS 18,2021,09/03/2021,14,Terça,Feminino,53,Ensino Fundamental Incompleto,Parda
AIS 18,2021,09/03/2021,14,Terça,Feminino,22,Ensino Fundamental Completo,Não Informada
AIS 19,2021,09/03/2021,16,Terça,Feminino,37,Ensino Médio Completo,Não Informada
AIS 19,2021,09/03/2021,16,Terça,Feminino,60,Ensino Fundamental Incompleto,Não Informada
AIS 17,2021,09/03/2021,16,Terça,Feminino,68,Alfabetizado,Não Informada
AIS 14,2021,09/03/2021,18,Terça,Feminino,38,Ensino Médio Incompleto,Parda
AIS 12,2021,09/03/2021,19,Terça,Feminino,23,Ensino Médio Completo,Não Informada
AIS 19,2021,09/03/2021,19,Terça,Feminino,58,Ensino Médio Completo,Parda
AIS 12,2021,09/03/2021,20,Terça,Feminino,53,Ensino Médio Completo,Não Informada
AIS 15,2021,09/03/2021,20,Terça,Feminino,23,Ensino Fundamental Incompleto,Não Informada
AIS 08,2021,09/03/2021,20,Terça,Feminino,18,Alfabetizado,Não Informada
AIS 14,2021,09/03/2021,20,Terça,Feminino,33,Ensino Fundamental Incompleto,Parda
AIS 01,2021,09/03/2021,21,Terça,Feminino,22,Não Informada,Não Informada
AIS 22,2021,09/03/2021,21,Terça,Feminino,26,Alfabetizado,Branca
AIS 24,2021,09/03/2021,22,Terça,Feminino,49,Ensino Fundamental Incompleto,Branca
AIS 09,2021,09/03/2021,22,Terça,Feminino,31,Ensino Médio Completo,Não Informada
AIS 20,2021,09/03/2021,22,Terça,Feminino,57,Alfabetizado,Não Informada
AIS 19,2021,10/03/2021,2,Quarta,Feminino,33,Não Alfabetizado,Preta
AIS 05,2021,10/03/2021,5,Quarta,Feminino,30,Ensino Fundamental Completo,Parda
AIS 01,2021,10/03/2021,6,Quarta,Feminino,27,Ensino Médio Completo,Não Informada
AIS 02,2021,10/03/2021,8,Quarta,Feminino,40,Superior Incompleto,Não Informada
AIS 04,2021,10/03/2021,8,Quarta,Feminino,48,Superior Completo,Não Informada
AIS 19,2021,10/03/2021,8,Quarta,Feminino,41,Superior Incompleto,Parda
AIS 08,2021,10/03/2021,9,Quarta,Feminino,37,Ensino Fundamental Completo,Não Informada
AIS 06,2021,10/03/2021,9,Quarta,Feminino,37,Ensino Médio Completo,Não Informada
AIS 09,2021,10/03/2021,9,Quarta,Feminino,31,Ensino Médio Incompleto,Não Informada
AIS 14,2021,10/03/2021,9,Quarta,Feminino,44,Ensino Fundamental Incompleto,Não Informada
AIS 18,2021,10/03/2021,9,Quarta,Feminino,54,Ensino Fundamental Incompleto,Parda
AIS 09,2021,10/03/2021,10,Quarta,Feminino,51,Ensino Fundamental Incompleto,Não Informada
AIS 03,2021,10/03/2021,10,Quarta,Feminino,33,Alfabetizado,Não Informada
AIS 21,2021,10/03/2021,10,Quarta,Feminino,28,Alfabetizado,Não Informada
AIS 21,2021,10/03/2021,11,Quarta,Feminino,23,Ensino Fundamental Completo,Não Informada
AIS 05,2021,10/03/2021,12,Quarta,Feminino,34,Superior Completo,Não Informada
AIS 09,2021,10/03/2021,12,Quarta,Feminino,45,Ensino Médio Completo,Não Informada
AIS 19,2021,10/03/2021,12,Quarta,Feminino,41,Ensino Fundamental Completo,Não Informada
AIS 24,2021,10/03/2021,13,Quarta,Feminino,32,Ensino Fundamental Incompleto,Não Informada
AIS 14,2021,10/03/2021,13,Quarta,Feminino,48,Alfabetizado,Parda
AIS 20,2021,10/03/2021,13,Quarta,Feminino,70,Alfabetizado,Parda
AIS 18,2021,10/03/2021,13,Quarta,Feminino,33,Alfabetizado,Parda
